元の城名,URL,城名,別名,築城年,城主,場所,Latitude,Longitude
清州城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e6%b8%85%e5%b7%9e%e5%9f%8e%e3%80%90%e6%b8%85%e9%a0%88%e5%b8%82%e6%b8%85%e6%b4%b2%e5%ad%97%e5%8f%a4%e5%9f%8e%e3%80%91/,清州城,清須城,応永12年（1405）,斯波氏、織田氏、豊臣氏、福島氏、尾張徳川家,愛知県清須市清洲字古城,35.217669,136.841860
小牧山城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e5%b0%8f%e7%89%a7%e5%b1%b1%e5%9f%8e%e3%80%90%e5%b0%8f%e7%89%a7%e5%b8%82%e5%a0%80%e3%81%ae%e5%86%85%e3%80%91/,小牧城,,永禄6年(1563)織田信長によって築かれる。,織田信長、徳川氏,愛知県小牧市堀の内(小牧山),35.292518,136.913436
田原城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e7%94%b0%e5%8e%9f%e5%9f%8e%e3%80%90%e7%94%b0%e5%8e%9f%e5%b8%82%e7%94%b0%e5%8e%9f%e7%94%ba%e5%b7%b4%e6%b1%9f%e3%80%91/,田原城,巴江城,文明12年(1480)戸田宗光によって築かれたと伝わる。,戸田氏、三宅氏（江戸時代以降）,愛知県田原市田原町巴江(巴江公園内),34.673815,137.269697
名古屋城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e6%84%9b%e7%9f%a5%e7%9c%8c%e3%80%91%e5%90%8d%e5%8f%a4%e5%b1%8b%e5%9f%8e%e3%80%90%e5%90%8d%e5%8f%a4%e5%b1%8b%e5%b8%82%e4%b8%ad%e5%8c%ba%e6%9c%ac%e4%b8%b8%e3%80%91/,名古屋城,那古屋城、蓮左城、楊柳城、柳ヶ城、亀尾城、鶴ヶ城、金城,大永年間（1521～28）に今川氏親がこの地に名護屋城を築城する、天文24年（1555）頃に織田信長によって一旦廃城となる。,今川氏、織田氏、徳川氏,愛知県名古屋市中区本丸,35.181399,136.900309
岐阜城,https://gosenzo.net/yamajiro/2021/10/30/%e3%80%90%e5%b2%90%e9%98%9c%e7%9c%8c%e3%80%91%e5%b2%90%e9%98%9c%e5%9f%8e%e3%80%90%e5%b2%90%e9%98%9c%e5%b8%82%e5%a4%a9%e4%b8%bb%e9%96%a3%e3%80%91/,岐阜城,稲葉山城、金華山城、井口城,建仁元年（1201）二階堂行政によって築城。,齋藤氏、織田氏,岐阜県岐阜市天主閣(金華山内),35.433934,136.782027
大垣城,https://gosenzo.net/yamajiro/2021/10/31/%e3%80%90%e5%b2%90%e9%98%9c%e7%9c%8c%e3%80%91%e5%a4%a7%e5%9e%a3%e5%b8%82%e3%80%90%e5%a4%a7%e5%9e%a3%e5%b8%82%e9%83%ad%e7%94%ba%e3%80%91/,大垣城,巨鹿城、麋城,明応9年(1500)竹腰彦五郎尚綱によって築かれたとも、天文4年(1535)宮川安定によって築かれたとも。,竹腰氏、氏家氏、伊藤氏、岡部氏、久松松平氏、戸田氏,岐阜県大垣市郭町,35.362152,136.616534
掛川城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e6%8e%9b%e5%b7%9d%e5%9f%8e%e3%80%90%e6%8e%9b%e5%b7%9d%e5%b8%82%e5%9f%8e%e4%b8%8b%e3%80%91/,掛川城,雲霧城、松尾城,永正9年(1512)朝比奈泰能によって築かれる。,朝比奈氏、山内氏、太田氏、石川氏,静岡県掛川市城下,34.775187,138.013893
高天神城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e9%ab%98%e5%a4%a9%e7%a5%9e%e5%9f%8e%e3%80%90%e6%8e%9b%e5%b7%9d%e5%b8%82%e4%b8%8a%e5%9c%9f%e6%96%b9%e5%b6%ba%e5%90%91%e3%80%91/,高天神城,土方城,室町時代中期,福島氏、小笠原氏、岡部氏,静岡県掛川市上土方嶺向,34.698476,138.036035
山中城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e5%b1%b1%e4%b8%ad%e5%9f%8e%e3%80%90%e4%b8%89%e5%b3%b6%e5%b8%82%e5%b1%b1%e4%b8%ad%e6%96%b0%e7%94%b0%e3%80%91/,山中城,,永禄年間(1558～70年)頃に北条氏により築城。,北条氏,静岡県三島市山中新田,35.156061,138.992028
駿府城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e9%a7%bf%e5%ba%9c%e5%9f%8e%e3%80%90%e9%9d%99%e5%b2%a1%e5%b8%82%e8%91%b5%e5%8c%ba%e5%9f%8e%e5%86%85%e7%94%ba%e3%80%91/,駿府城,,天正13年(1585)徳川家康によって築かれる。,徳川氏、中村氏、内藤氏,静岡県静岡市葵区城内町(駿府公園内),34.979507,138.383126
浜松城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e6%b5%9c%e6%9d%be%e5%9f%8e%e3%80%90%e6%b5%9c%e6%9d%be%e5%b8%82%e4%b8%ad%e5%8c%ba%e5%85%83%e5%9f%8e%e7%94%ba%e3%80%91/,浜松城,,元亀元年(1570)徳川家康によって築かれる。,徳川家康,静岡県浜松市中区元城町(浜松城公園内),34.711759,137.724879
引馬城,https://gosenzo.net/yamajiro/2021/11/03/%e3%80%90%e9%9d%99%e5%b2%a1%e7%9c%8c%e3%80%91%e5%bc%95%e9%96%93%e5%9f%8e%e3%80%90%e6%b5%9c%e6%9d%be%e5%b8%82%e4%b8%ad%e5%8c%ba%e5%85%83%e5%9f%8e%e7%94%ba%e3%80%91/,引間城,引馬城、曳馬城,詳細不明、永正年間（1504～21）頃か。,巨海氏、大河内氏、飯尾氏、徳川氏,静岡県浜松市中区元城町(東照寺内),34.713312,137.728491
金沢城,https://gosenzo.net/yamajiro/2021/11/06/%e3%80%90%e7%9f%b3%e5%b7%9d%e7%9c%8c%e3%80%91%e9%87%91%e6%b2%a2%e5%9f%8e%e3%80%90%e9%87%91%e6%b2%a2%e5%b8%82%e4%b8%b8%e3%81%ae%e5%86%85%e3%80%91/,金沢城,尾山城、尾上城、金城,天文15年(1546)頃に一向一揆の尾山御坊があったとされる、文禄元年（1590）から前田利家が金沢城として築城する。,前田氏,石川県金沢市丸の内(金沢城公園内),36.563507,136.660178
福知山城,https://gosenzo.net/yamajiro/2021/03/13/%e3%80%90%e4%ba%ac%e9%83%bd%e5%ba%9c%e3%80%91%e7%a6%8f%e7%9f%a5%e5%b1%b1%e5%9f%8e%e3%80%90%e7%a6%8f%e7%9f%a5%e5%b1%b1%e5%b8%82%e5%86%85%e8%a8%98%e3%80%91/,福知山城,横山城、臥龍城、八幡城、福智山城、掻上城,1579年,横山氏、明智光秀、小野木氏、有馬氏など,京都府福知山市内記,35.296783,135.129686
二条城,https://gosenzo.net/yamajiro/2021/03/13/%e3%80%90%e4%ba%ac%e9%83%bd%e5%ba%9c%e3%80%91%e4%ba%8c%e6%9d%a1%e5%9f%8e%e3%80%90%e4%ba%ac%e9%83%bd%e5%b8%82%e4%b8%ad%e4%ba%ac%e5%8c%ba%e4%ba%8c%e6%9d%a1%e5%9f%8e%e7%94%ba%e3%80%91/,二条城,二条亭,1603年,徳川氏,京都府京都市中京区二条城町,35.013878,135.748642
出野城,https://gosenzo.net/yamajiro/2021/03/13/%e3%80%90%e4%ba%ac%e9%83%bd%e5%ba%9c%e3%80%91%e5%87%ba%e9%87%8e%e5%9f%8e%e3%80%90%e8%88%b9%e4%ba%95%e9%83%a1%e4%ba%ac%e4%b8%b9%e6%b3%a2%e7%94%ba%e5%87%ba%e9%87%8e%e3%80%91/,出野城（いでのじょう）,,戦国時代か,出野氏,京都府船井郡京丹波町出野,35.271876,135.362105
竹田城,https://gosenzo.net/yamajiro/2021/05/31/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%ab%b9%e7%94%b0%e5%9f%8e%e3%80%90%e6%9c%9d%e6%9d%a5%e5%b8%82%e5%92%8c%e7%94%b0%e5%b1%b1%e7%94%ba%e7%ab%b9%e7%94%b0%e3%80%91/,竹田城,"虎臥城,安井ノ城",永享3年（1431）に太田垣光継によって築かれたらしい。,"太田垣氏,桑山重晴,赤松広秀",兵庫県朝来市和田山町竹田,35.300474,134.829109
豊岡城,https://gosenzo.net/yamajiro/2021/08/21/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%b1%8a%e5%b2%a1%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e4%ba%ac%e7%94%ba%e3%80%91/,豊岡城,亀城,天正8年（1580）,宮部氏、明石氏、杉原氏、京極氏,兵庫県豊岡市京町,35.539776,134.821003
芦屋城,https://gosenzo.net/yamajiro/2021/08/21/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%8a%a6%e5%b1%8b%e5%9f%8e%e3%80%90%e7%be%8e%e6%96%b9%e9%83%a1%e6%96%b0%e6%b8%a9%e6%b3%89%e7%94%ba%e8%8a%a6%e5%b1%8b%e5%ad%97%e5%9f%8e%e5%b1%b1%e3%80%91/,芦屋城,亀が城、阿勢井城,南北時代末期,塩冶氏,兵庫県美方郡新温泉町芦屋字城山,35.626855,134.437292
鶴城,https://gosenzo.net/yamajiro/2021/08/21/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%b6%b4%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%b1%b1%e6%9c%ac%e5%ad%97%e9%b6%b4%e3%82%ac%e5%9f%8e%e3%80%91/,鶴城,,永享年間（1429～41）,田結庄氏,兵庫県豊岡市山本字鶴ガ城,35.555629,134.829005
備後衆山砦,https://gosenzo.net/yamajiro/2021/08/22/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%82%99%e5%be%8c%e8%a1%86%e5%b1%b1%e7%a0%a6%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e6%97%a5%e6%92%ab%e5%ad%97%e5%ae%ae%e3%83%8e%e4%b8%8b%e3%80%91/,備後衆山砦（びんごすやまとりで）,,室町時代か,備後山内氏に関係と推測、また対面の鶴城（田結庄氏）の出城ともある。,兵庫県豊岡市日撫字宮ノ下,35.549118,134.830468
正法寺城,https://gosenzo.net/yamajiro/2021/08/22/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%ad%a3%e6%b3%95%e5%af%ba%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%b1%b1%e7%8e%8b%e7%94%ba%e3%80%91/,正法寺城,,南北朝時代か,山名氏,兵庫県豊岡市山王町,35.541572,134.815958
妙楽寺城,https://gosenzo.net/yamajiro/2021/08/22/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%a6%99%e6%a5%bd%e5%af%ba%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%a6%99%e6%a5%bd%e5%af%ba%e5%ad%97%e8%a6%8b%e6%89%8b%e5%b1%b1%e3%80%91/,妙楽寺城,,明徳元年(1390)以前,山名氏,兵庫県豊岡市妙楽寺字見手山,35.534596,134.814586
此隅山城,https://gosenzo.net/yamajiro/2021/08/28/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%ad%a4%e9%9a%85%e5%b1%b1%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%87%ba%e7%9f%b3%e7%94%ba%e5%ae%ae%e5%86%85%e3%80%91/,此隅山城,"此隅城,子盗城,子守城",1372年,山名氏,兵庫県豊岡市出石町宮内,35.487232,134.872419
有子山城,https://gosenzo.net/yamajiro/2021/08/28/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%9c%89%e5%ad%90%e5%b1%b1%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%87%ba%e7%9f%b3%e7%94%ba%e5%86%85%e7%94%ba%e3%80%91/,有子山城,"高城,有子城",天正2年(1574),"山名祐豊,山名氏政,前野長康,小出吉政,小出吉英",兵庫県豊岡市出石町内町,35.455010,134.878834
出石城,https://gosenzo.net/yamajiro/2021/09/04/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%87%ba%e7%9f%b3%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%87%ba%e7%9f%b3%e7%94%ba%e5%86%85%e7%94%ba%e3%80%91/,出石城,,慶長9年（1604）,小出吉英により築城、小出氏、松平氏、仙石氏らが歴代城主。,兵庫県豊岡市出石町内町,35.459952,134.874494
村岡陣屋,https://gosenzo.net/yamajiro/2021/09/04/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%9d%91%e5%b2%a1%e9%99%a3%e5%b1%8b%e3%80%90%e7%be%8e%e6%96%b9%e9%83%a1%e9%a6%99%e7%be%8e%e7%94%ba%e6%9d%91%e5%b2%a1%e3%80%91/,村岡陣屋,,寛永19年（1642）山名矩豊により築城。,山名氏,兵庫県美方郡香美町村岡,35.472615,134.597052
宵田城,https://gosenzo.net/yamajiro/2021/09/04/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%ae%b5%e7%94%b0%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e6%97%a5%e9%ab%98%e7%94%ba%e5%b2%a9%e4%b8%ad%e5%ad%97%e5%9f%8e%e5%b1%b1%e3%80%91/,宵田城,南龍城,享禄2年（1430）,垣屋氏,兵庫県豊岡市日高町岩中字城山,35.462789,134.768558
轟城,https://gosenzo.net/yamajiro/2021/09/05/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%bd%9f%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e7%ab%b9%e9%87%8e%e7%94%ba%e8%bd%9f%e5%ad%97%e5%9f%8e%e5%b1%b1%e3%80%91/,轟城,青葉城,応仁の乱頃,垣屋氏（駿河守系統）,兵庫県豊岡市竹野町轟字城山,35.617212,134.749276
八木城・八木古城,https://gosenzo.net/yamajiro/2021/09/11/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%85%ab%e6%9c%a8%e5%9f%8e%e3%83%bb%e5%85%ab%e6%9c%a8%e5%8f%a4%e5%9f%8e%e3%80%90%e9%a4%8a%e7%88%b6%e5%b8%82%e5%85%ab%e9%b9%bf%e7%94%ba%e5%85%ab%e6%9c%a8/,八木城,"八木石城,石城",戦国時代か,八木氏、別所重棟、別所吉治,兵庫県養父市八鹿町八木,35.389116,134.711308
八木城・八木古城,https://gosenzo.net/yamajiro/2021/09/11/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%85%ab%e6%9c%a8%e5%9f%8e%e3%83%bb%e5%85%ab%e6%9c%a8%e5%8f%a4%e5%9f%8e%e3%80%90%e9%a4%8a%e7%88%b6%e5%b8%82%e5%85%ab%e9%b9%bf%e7%94%ba%e5%85%ab%e6%9c%a8/,八木古城,八木土城、土城,鎌倉時代,八木氏,兵庫県養父市八鹿町八木,35.391797,134.707542
朝倉城,https://gosenzo.net/yamajiro/2021/09/11/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%9c%9d%e5%80%89%e5%9f%8e%e3%80%90%e9%a4%8a%e7%88%b6%e5%b8%82%e5%85%ab%e9%b9%bf%e7%94%ba%e6%9c%9d%e5%80%89%e3%80%91/,朝倉城,,鎌倉時代,朝倉氏,兵庫県養父市八鹿町朝倉,35.399473,134.772353
置城城,https://gosenzo.net/yamajiro/2021/09/11/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%bd%ae%e5%9f%8e%e5%9f%8e%e3%80%90%e5%a7%ab%e8%b7%af%e5%b8%82%e5%a4%a2%e5%89%8d%e7%94%ba%e5%ae%ae%e7%bd%ae%e3%80%91/,置塩城,藤丸城・小塩城,文明元年（1469）,赤松氏,兵庫県姫路市夢前町宮置,34.923413,134.683112
赤穂城,https://gosenzo.net/yamajiro/2021/09/12/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%b5%a4%e7%a9%82%e5%9f%8e%e3%80%90%e8%b5%a4%e7%a9%82%e5%b8%82%e4%b8%8a%e4%bb%ae%e5%b1%8b%e3%80%91/,赤穂城,加里屋城,寛文元年（1661）,浅野長直,兵庫県赤穂市上仮屋,34.745715,134.388823
姫路城,https://gosenzo.net/yamajiro/2021/09/13/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%a7%ab%e8%b7%af%e5%9f%8e%e3%80%90%e5%a7%ab%e8%b7%af%e5%b8%82%e6%9c%ac%e7%94%ba%e3%80%91/,姫路城,白鷺城、姫山城,貞和2年（1346）,赤松氏、小寺氏、黒田氏、池田氏、本多氏、松平氏、榊原氏、酒井氏,兵庫県姫路市本町,34.839439,134.693954
英賀城,https://gosenzo.net/yamajiro/2021/09/13/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%8b%b1%e8%b3%80%e5%9f%8e%e3%80%90%e5%a7%ab%e8%b7%af%e5%b8%82%e9%a3%be%e7%a3%a8%e5%8c%ba%e8%8b%b1%e8%b3%80%e5%ae%ae%e7%94%ba%e3%80%91/,英賀城（あがじょう）,岩繁城,室町時代初期（永享年間1429～41）,赤松氏、三木氏,兵庫県姫路市飾磨区英賀宮町,34.806184,134.639717
御着城,https://gosenzo.net/yamajiro/2021/09/13/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%be%a1%e7%9d%80%e5%9f%8e%e3%80%90%e5%a7%ab%e8%b7%af%e5%b8%82%e5%be%a1%e5%9b%bd%e9%87%8e%e7%94%ba%e5%be%a1%e7%9d%80%e3%80%91/,御着城（ごちゃくじょう）,"茶臼山城,天川城",明応4年（1495）頃か。,小寺氏,兵庫県姫路市御国野町御着,34.818348,134.741435
三木城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e4%b8%89%e6%9c%a8%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e4%b8%8a%e3%81%ae%e4%b8%b8%e7%94%ba%e3%80%91/,三木城,釜山城、別所城,戦国時代か,三木氏、中川秀政、中川秀成、伊木忠次,兵庫県三木市上の丸町,34.799728,134.987756
平井山ノ上付城跡(秀吉本陣跡),https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%b9%b3%e4%ba%95%e5%b1%b1%e3%83%8e%e4%b8%8a%e4%bb%98%e5%9f%8e%e8%b7%a1%e7%a7%80%e5%90%89%e6%9c%ac%e9%99%a3%e8%b7%a1%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82/,平井山ノ上付城跡(秀吉本陣跡),,(天正6年(1578年)3月から天正8年1月)三木合戦期間中に築城された。,豊臣秀吉,兵庫県三木市平井,34.807938,135.017494
這田村法界寺山ノ上付城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%80%99%e7%94%b0%e6%9d%91%e6%b3%95%e7%95%8c%e5%af%ba%e5%b1%b1%e3%83%8e%e4%b8%8a%e4%bb%98%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e5%88%a5%e6%89%80/,這田村法界寺山ノ上付城（ほうだむらほうかいじやまのうえつけじろ）,,(天正6年(1578年)3月から天正8年1月)三木合戦期間中に築城された。,宮部継潤,兵庫県三木市別所町東這田,34.791695,134.966247
高木大塚城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%ab%98%e6%9c%a8%e5%a4%a7%e5%a1%9a%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e5%88%a5%e6%89%80%e7%94%ba%e6%9c%9d%e6%97%a5%e3%82%b1%e4%b8%98%e3%80%91/,高木大塚城,,(天正6年(1578年)3月から天正8年1月)三木合戦期間中に築城された。,不明,兵庫県三木市別所町朝日ケ丘,34.786816,134.971188
明石道峯構付城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%98%8e%e7%9f%b3%e9%81%93%e5%b3%af%e6%a7%8b%e4%bb%98%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e7%a6%8f%e4%ba%95%e3%80%91/,明石道峯構付城,,(天正6年(1578年)3月から天正8年1月)三木合戦期間中に築城された。,不明,兵庫県三木市福井,34.781469,134.984467
鷹尾山城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%b7%b9%e5%b0%be%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e7%a6%8f%e4%ba%95%e3%80%91/,鷹尾山城,,(天正6年(1578年)3月から天正8年1月)三木合戦期間中に築城された。,別所友之,兵庫県三木市福井,34.796926,134.988428
円光寺砦,https://gosenzo.net/yamajiro/2021/09/19/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%86%86%e5%85%89%e5%af%ba%e7%a0%a6%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e5%86%86%e5%85%89%e5%af%ba%e3%80%91/,円光寺砦,,不明（戦国時代か）,不明,兵庫県佐用郡佐用町円光寺,34.970080,134.336706
